Customer ID;Count;Quarter;Referred a Friend;Number of Referrals;Tenure in Months;Offer;Phone Service;Avg Monthly Long Distance Charges;Multiple Lines;Internet Service;Internet Type;Avg Monthly GB Download;Online Security;Online Backup;Device Protection Plan;Premium Tech Support;Streaming TV;Streaming Movies;Streaming Music;Unlimited Data;Contract;Paperless Billing;Payment Method;Monthly Charge;Total Charges;Total Refunds;Total Extra Data Charges;Total Long Distance Charges;Total Revenue
2656-FMOKZ;1;Q3;No;0;15;Offer D;Yes;£44,07;Yes;Yes;Fiber Optic;19;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Mailed Check;£74,45;£1.145,70;£0,00;£0,00;£661,05;£1.806,75
9947-OTFQU;1;Q3;No;0;15;Offer D;Yes;£29,11;No;Yes;Fiber Optic;29;No;Yes;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£74,40;£1.074,30;£0,00;£0,00;£436,65;£1.510,95
8098-LLAZX;1;Q3;No;0;4;Offer E;Yes;£31,61;Yes;Yes;Fiber Optic;2;No;No;No;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£95,45;£396,10;£0,00;£0,00;£126,44;£522,54
5020-ZSTTY;1;Q3;No;0;54;Offer B;Yes;£12,08;Yes;Yes;DSL;5;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;One Year;No;Bank Withdrawal;£82,45;£4.350,10;£0,00;£0,00;£652,32;£5.002,42
4895-TMWIR;1;Q3;Yes;1;11;None;Yes;£29,54;No;No;None;0;No;No;No;No;No;No;No;No;Month-to-Month;No;Mailed Check;£19,95;£214,75;£0,00;£0,00;£324,94;£539,69
0334-GDDSO;1;Q3;No;0;3;Offer E;Yes;£9,22;Yes;Yes;Fiber Optic;14;No;Yes;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£81,35;£233,70;£0,00;£0,00;£27,66;£261,36
6235-VDHOM;1;Q3;No;0;5;Offer E;No;£0,00;No;Yes;DSL;26;No;Yes;No;No;No;No;No;Yes;Month-to-Month;No;Bank Withdrawal;£28,45;£131,05;£0,00;£0,00;£0,00;£131,05
5956-VKDTT;1;Q3;Yes;4;5;Offer E;Yes;£45,76;Yes;Yes;Fiber Optic;22;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£74,35;£334,80;£0,00;£0,00;£228,80;£563,60
4554-YGZIH;1;Q3;Yes;3;49;Offer B;Yes;£22,92;Yes;Yes;Fiber Optic;14;No;Yes;No;No;No;Yes;No;Yes;Month-to-Month;No;Credit Card;£90,05;£4.547,25;£0,00;£0,00;£1.123,08;£5.670,33
5244-IRFIH;1;Q3;Yes;1;33;None;Yes;£27,78;Yes;Yes;Fiber Optic;8;No;No;No;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£94,50;£3.105,55;£0,00;£0,00;£916,74;£4.022,29
3643-AHCFP;1;Q3;Yes;1;7;None;Yes;£21,91;Yes;Yes;Cable;11;No;No;No;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£95,60;£644,35;£0,00;£0,00;£153,37;£797,72
7074-IEVOJ;1;Q3;No;0;3;None;Yes;£41,90;Yes;Yes;Fiber Optic;11;No;Yes;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£79,40;£205,05;£0,00;£0,00;£125,70;£330,75
9889-TMAHG;1;Q3;No;0;8;None;Yes;£11,57;No;Yes;Fiber Optic;27;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Month-to-Month;No;Credit Card;£100,30;£832,35;£0,00;£0,00;£92,56;£924,91
6646-QVXLR;1;Q3;Yes;1;62;None;Yes;£7,11;Yes;Yes;Fiber Optic;16;No;Yes;Yes;No;Yes;Yes;Yes;Yes;One Year;Yes;Bank Withdrawal;£103,75;£6.383,35;£0,00;£0,00;£440,82;£6.824,17
4441-NIHPT;1;Q3;No;0;13;None;Yes;£40,37;No;Yes;Fiber Optic;21;No;No;Yes;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£74,30;£940,35;£0,00;£0,00;£524,81;£1.465,16
7029-RPUAV;1;Q3;Yes;1;17;None;Yes;£28,18;Yes;Yes;Cable;16;No;No;Yes;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Credit Card;£100,45;£1.622,45;£0,00;£0,00;£479,06;£2.101,51
6567-HOOPW;1;Q3;No;0;1;None;Yes;£20,06;No;Yes;Fiber Optic;24;No;No;No;No;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£79,20;£79,20;£0,00;£0,00;£20,06;£99,26
5357-TZHPP;1;Q3;No;0;9;None;Yes;£30,80;Yes;Yes;Fiber Optic;18;No;No;No;No;No;Yes;No;Yes;Month-to-Month;Yes;Credit Card;£84,40;£732,50;£0,00;£0,00;£277,20;£1.009,70
9809-IMGCQ;1;Q3;No;0;22;Offer D;Yes;£40,18;Yes;Yes;Fiber Optic;8;No;No;No;No;Yes;Yes;Yes;No;Month-to-Month;Yes;Bank Withdrawal;£96,70;£2.082,95;£0,00;£100,00;£883,96;£3.066,91
2660-EMUBI;1;Q3;No;0;10;Offer D;Yes;£41,37;Yes;Yes;Fiber Optic;14;No;No;No;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£95,35;£898,35;£0,00;£0,00;£413,70;£1.312,05
2761-OCIAX;1;Q3;No;0;2;None;Yes;£6,51;No;Yes;Fiber Optic;11;No;Yes;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£74,70;£165,40;£0,00;£0,00;£13,02;£178,42
3068-OMWZA;1;Q3;No;0;1;None;Yes;£49,60;Yes;Yes;Fiber Optic;20;No;No;Yes;No;Yes;No;No;No;Month-to-Month;Yes;Bank Withdrawal;£88,80;£88,80;£0,00;£10,00;£49,60;£148,40
4690-LLKUA;1;Q3;No;0;17;None;Yes;£40,93;No;Yes;DSL;2;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£45,05;£770,60;£0,00;£0,00;£695,81;£1.466,41
5047-LHVLY;1;Q3;No;0;1;Offer E;Yes;£39,78;No;Yes;Cable;12;No;No;Yes;No;No;No;No;Yes;Month-to-Month;Yes;Mailed Check;£50,15;£50,15;£0,00;£0,00;£39,78;£89,93
8375-DKEBR;1;Q3;No;0;1;Offer E;Yes;£34,51;No;Yes;Fiber Optic;15;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£69,60;£69,60;£0,00;£0,00;£34,51;£104,11
7156-MHUGY;1;Q3;No;0;13;None;Yes;£26,11;No;Yes;Fiber Optic;4;No;No;No;No;Yes;Yes;Yes;No;Month-to-Month;Yes;Bank Withdrawal;£90,50;£1.201,15;£29,84;£140,00;£339,43;£1.650,74
8080-DDEMJ;1;Q3;No;0;1;Offer E;Yes;£15,28;No;Yes;Cable;14;No;No;No;No;No;No;No;Yes;Month-to-Month;No;Bank Withdrawal;£45,10;£45,10;£0,00;£0,00;£15,28;£60,38
6702-OHFWR;1;Q3;No;0;1;Offer E;No;£0,00;No;Yes;DSL;26;No;Yes;Yes;No;No;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£43,30;£43,30;£0,00;£0,00;£0,00;£43,30
7776-QWNFX;1;Q3;Yes;1;30;None;Yes;£4,65;No;Yes;DSL;29;No;Yes;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£50,40;£1.527,50;£0,00;£0,00;£139,50;£1.667,00
3424-NMNBO;1;Q3;Yes;1;58;None;Yes;£49,38;Yes;Yes;Fiber Optic;19;Yes;Yes;Yes;No;Yes;Yes;No;Yes;One Year;Yes;Bank Withdrawal;£108,85;£6.287,25;£0,00;£0,00;£2.864,04;£9.151,29
7216-EWTRS;1;Q3;Yes;4;1;None;Yes;£17,35;Yes;Yes;Fiber Optic;23;No;No;Yes;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£100,80;£100,80;£0,00;£0,00;£17,35;£118,15
5440-FLBQG;1;Q3;Yes;1;69;Offer A;Yes;£48,88;Yes;Yes;Fiber Optic;4;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Two Year;Yes;Bank Withdrawal;£108,40;£7.318,20;£0,00;£0,00;£3.372,72;£10.690,92
2774-LVQUS;1;Q3;Yes;2;15;None;Yes;£44,13;Yes;Yes;Fiber Optic;3;No;No;Yes;Yes;No;No;No;No;Month-to-Month;Yes;Bank Withdrawal;£83,05;£1.258,30;£0,00;£110,00;£661,95;£2.030,25
4612-THJBS;1;Q3;No;0;56;None;Yes;£34,58;Yes;Yes;Fiber Optic;4;No;Yes;Yes;No;Yes;Yes;No;Yes;One Year;Yes;Bank Withdrawal;£104,75;£5.510,65;£0,00;£0,00;£1.936,48;£7.447,13
4094-NSEDU;1;Q3;No;0;21;None;Yes;£21,15;Yes;Yes;Fiber Optic;9;No;No;No;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£94,25;£1.973,75;£0,00;£0,00;£444,15;£2.417,90
3757-NJYBX;1;Q3;Yes;3;32;None;Yes;£7,92;Yes;Yes;Fiber Optic;3;No;Yes;Yes;No;Yes;Yes;No;Yes;Month-to-Month;No;Bank Withdrawal;£106,35;£3.520,75;£0,00;£0,00;£253,44;£3.774,19
9898-KZQDZ;1;Q3;Yes;1;40;None;Yes;£49,50;Yes;Yes;Fiber Optic;20;No;No;No;No;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Credit Card;£94,55;£3.640,45;£0,00;£0,00;£1.980,00;£5.620,45
2205-YMZZJ;1;Q3;No;0;7;None;Yes;£39,51;Yes;Yes;Fiber Optic;13;No;No;No;No;Yes;No;No;No;Month-to-Month;Yes;Bank Withdrawal;£84,80;£546,95;£0,00;£0,00;£276,57;£823,52
9221-OTIVJ;1;Q3;No;0;14;None;Yes;£29,96;Yes;Yes;Fiber Optic;7;No;Yes;Yes;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£104,85;£1.531,40;£0,00;£0,00;£419,44;£1.950,84
8922-LIEGH;1;Q3;No;0;25;None;Yes;£36,36;Yes;Yes;Fiber Optic;6;No;Yes;No;No;No;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£89,70;£2.187,55;£23,33;£0,00;£909,00;£3.073,22
5373-SFODM;1;Q3;Yes;1;36;None;Yes;£24,54;Yes;Yes;Fiber Optic;5;No;No;No;No;No;Yes;Yes;Yes;Month-to-Month;Yes;Credit Card;£85,25;£3.132,75;£0,00;£0,00;£883,44;£4.016,19
3336-JORSO;1;Q3;No;0;33;Offer C;Yes;£17,24;Yes;Yes;Fiber Optic;25;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Month-to-Month;Yes;Bank Withdrawal;£110,45;£3.655,45;£0,00;£70,00;£568,92;£4.294,37
6861-XWTWQ;1;Q3;Yes;1;7;None;Yes;£42,92;Yes;Yes;Fiber Optic;2;No;No;Yes;No;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Bank Withdrawal;£99,25;£665,45;£0,00;£0,00;£300,44;£965,89
2634-HCZGT;1;Q3;Yes;1;53;None;Yes;£21,67;Yes;Yes;Cable;6;Yes;No;No;Yes;No;No;No;No;One Year;Yes;Bank Withdrawal;£60,05;£3.229,65;£0,00;£100,00;£1.148,51;£4.478,16
2454-RPBRZ;1;Q3;Yes;1;12;Offer D;Yes;£30,63;Yes;Yes;Fiber Optic;27;No;Yes;Yes;No;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£98,10;£1.060,20;£49,06;£0,00;£367,56;£1.378,70
2265-CYWIV;1;Q3;Yes;1;4;None;Yes;£18,91;Yes;Yes;Fiber Optic;20;Yes;No;No;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£99,60;£347,65;£25,79;£0,00;£75,64;£397,50
1732-VHUBQ;1;Q3;Yes;1;47;None;Yes;£26,95;No;Yes;Fiber Optic;26;No;No;No;No;No;No;No;Yes;Month-to-Month;No;Bank Withdrawal;£70,55;£3.309,25;£26,99;£0,00;£1.266,65;£4.548,91
0679-IDSTG;1;Q3;Yes;1;1;None;Yes;£37,30;No;Yes;Fiber Optic;8;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£69,25;£69,25;£0,00;£0,00;£37,30;£106,55
6022-UGGSO;1;Q3;No;0;32;Offer C;Yes;£33,22;No;Yes;Fiber Optic;9;No;Yes;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£74,40;£2.276,95;£44,31;£0,00;£1.063,04;£3.295,68
3923-CSIHK;1;Q3;Yes;1;50;None;Yes;£4,60;No;Yes;Cable;24;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£71,05;£3.444,85;£0,00;£0,00;£230,00;£3.674,85
6397-JNZZG;1;Q3;Yes;1;43;Offer B;No;£0,00;No;Yes;DSL;21;No;Yes;Yes;No;Yes;Yes;No;Yes;Month-to-Month;No;Credit Card;£55,55;£2.342,20;£0,00;£0,00;£0,00;£2.342,20
3318-OSATS;1;Q3;No;0;35;Offer C;Yes;£35,10;Yes;Yes;Fiber Optic;29;No;No;No;No;Yes;Yes;No;No;Month-to-Month;Yes;Bank Withdrawal;£95,45;£3.474,05;£0,00;£80,00;£1.228,50;£4.782,55
2636-ALXXZ;1;Q3;No;0;1;Offer E;Yes;£45,80;No;Yes;Fiber Optic;10;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£69,60;£69,60;£0,00;£0,00;£45,80;£115,40
9885-CSMWE;1;Q3;No;0;1;Offer E;Yes;£18,37;No;Yes;Fiber Optic;13;No;No;No;No;Yes;No;No;Yes;Month-to-Month;No;Bank Withdrawal;£78,45;£78,45;£0,00;£0,00;£18,37;£96,82
8276-MQBYC;1;Q3;No;0;51;Offer B;Yes;£19,49;Yes;Yes;Fiber Optic;11;No;No;Yes;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£97,80;£4.913,30;£0,00;£0,00;£993,99;£5.907,29
6015-VVHHE;1;Q3;No;0;5;None;Yes;£41,83;Yes;Yes;Fiber Optic;25;No;No;No;No;Yes;No;No;Yes;Month-to-Month;Yes;Credit Card;£83,15;£446,05;£0,00;£0,00;£209,15;£655,20
8414-MYSHR;1;Q3;No;0;5;None;Yes;£4,59;No;Yes;Fiber Optic;11;No;No;No;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£91,40;£449,75;£0,00;£0,00;£22,95;£472,70
4706-AXVKM;1;Q3;No;0;11;None;Yes;£4,10;Yes;Yes;Fiber Optic;5;No;No;No;No;No;Yes;No;Yes;Month-to-Month;Yes;Credit Card;£84,80;£906,85;£0,00;£0,00;£45,10;£951,95
5889-JTMUL;1;Q3;Yes;1;50;Offer B;Yes;£31,56;Yes;Yes;Fiber Optic;4;No;Yes;Yes;No;Yes;No;No;No;Month-to-Month;Yes;Bank Withdrawal;£95,05;£4.888,70;£0,00;£50,00;£1.578,00;£6.516,70
9026-RNUJS;1;Q3;No;0;5;None;Yes;£18,69;No;Yes;DSL;28;No;No;Yes;No;No;No;No;Yes;Month-to-Month;No;Bank Withdrawal;£50,35;£237,25;£0,00;£0,00;£93,45;£330,70
1624-NALOJ;1;Q3;No;0;5;None;Yes;£36,36;Yes;Yes;Fiber Optic;12;No;Yes;No;No;No;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£89,80;£502,60;£0,00;£0,00;£181,80;£684,40
8623-TMRBY;1;Q3;Yes;2;51;Offer B;Yes;£43,58;Yes;Yes;Cable;22;No;Yes;Yes;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£84,20;£4.146,05;£0,00;£0,00;£2.222,58;£6.368,63
1771-OADNZ;1;Q3;Yes;1;29;Offer C;Yes;£35,38;Yes;Yes;Fiber Optic;21;No;Yes;Yes;No;No;Yes;Yes;No;Month-to-Month;Yes;Bank Withdrawal;£95,90;£2.745,20;£0,00;£50,00;£1.026,02;£3.821,22
4433-JCGCG;1;Q3;Yes;1;46;Offer B;Yes;£5,36;Yes;Yes;Fiber Optic;22;No;No;Yes;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£101,00;£4.680,05;£0,00;£0,00;£246,56;£4.926,61
4201-JMNGR;1;Q3;No;0;1;Offer E;Yes;£26,22;No;Yes;Cable;22;Yes;No;Yes;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£55,80;£55,80;£0,00;£0,00;£26,22;£82,02
8972-HJWNV;1;Q3;Yes;1;7;Offer E;Yes;£21,43;Yes;Yes;Fiber Optic;12;No;No;No;No;No;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£84,55;£646,85;£0,00;£0,00;£150,01;£796,86
9667-EQRXU;1;Q3;No;0;30;None;No;£0,00;No;Yes;Cable;7;No;No;Yes;No;Yes;No;No;No;Month-to-Month;Yes;Bank Withdrawal;£40,30;£1.172,95;£0,00;£100,00;£0,00;£1.272,95
4902-OHLSK;1;Q3;No;0;29;None;Yes;£20,98;Yes;Yes;Fiber Optic;16;No;No;No;Yes;Yes;Yes;No;Yes;Month-to-Month;No;Bank Withdrawal;£98,65;£2.862,75;£0,00;£0,00;£608,42;£3.471,17
2357-COQEK;1;Q3;No;0;28;None;Yes;£28,14;Yes;Yes;Fiber Optic;10;No;No;Yes;Yes;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£103,30;£2.890,65;£0,00;£0,00;£787,92;£3.678,57
2091-RFFBA;1;Q3;No;0;31;None;Yes;£15,43;Yes;Yes;Fiber Optic;2;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£73,90;£2.217,15;£0,00;£0,00;£478,33;£2.695,48
6899-PPEEA;1;Q3;No;0;37;None;Yes;£3,30;Yes;Yes;Fiber Optic;2;No;No;No;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£96,55;£3.580,30;£0,00;£0,00;£122,10;£3.702,40
4597-NUCQV;1;Q3;No;0;24;None;Yes;£28,98;Yes;Yes;Fiber Optic;30;No;Yes;No;No;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Bank Withdrawal;£101,25;£2.440,15;£0,00;£0,00;£695,52;£3.135,67
7903-CMPEY;1;Q3;Yes;1;1;None;Yes;£17,51;Yes;Yes;Fiber Optic;21;Yes;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£80,30;£80,30;£0,00;£0,00;£17,51;£97,81
1704-NRWYE;1;Q3;No;0;9;None;Yes;£43,34;No;Yes;Fiber Optic;2;No;No;No;No;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£80,85;£751,65;£0,00;£0,00;£390,06;£1.141,71
0023-HGHWL;1;Q3;No;0;1;None;No;£0,00;No;Yes;Cable;9;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£25,10;£25,10;£0,00;£0,00;£0,00;£25,10
1112-CUNAO;1;Q3;No;0;15;Offer D;Yes;£4,28;Yes;Yes;Fiber Optic;6;No;Yes;No;No;No;Yes;No;Yes;Month-to-Month;No;Bank Withdrawal;£89,85;£1.424,95;£0,00;£0,00;£64,20;£1.489,15
5707-ORNDZ;1;Q3;No;0;9;Offer E;Yes;£2,45;Yes;Yes;DSL;7;Yes;No;No;No;No;No;No;Yes;Month-to-Month;No;Bank Withdrawal;£54,55;£494,05;£0,00;£0,00;£22,05;£516,10
8696-JKZNU;1;Q3;No;0;37;Offer C;Yes;£26,95;Yes;Yes;Fiber Optic;17;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£76,25;£2.841,55;£0,00;£0,00;£997,15;£3.838,70
5233-GEEAX;1;Q3;No;0;8;Offer E;No;£0,00;No;Yes;DSL;4;No;No;Yes;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£29,40;£221,90;£0,00;£0,00;£0,00;£221,90
5281-BUZGT;1;Q3;No;0;36;Offer C;Yes;£23,33;Yes;Yes;Fiber Optic;23;Yes;No;No;No;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£90,85;£3.186,70;£0,00;£0,00;£839,88;£4.026,58
4713-LZDRV;1;Q3;No;0;2;Offer E;Yes;£31,91;No;Yes;Cable;30;No;No;No;No;No;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£79,60;£195,05;£0,00;£0,00;£63,82;£258,87
8010-EZLOU;1;Q3;No;0;15;None;Yes;£12,08;Yes;Yes;Fiber Optic;5;No;Yes;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£80,20;£1.217,25;£0,00;£0,00;£181,20;£1.398,45
9381-NDKME;1;Q3;Yes;1;24;Offer C;No;£0,00;No;Yes;Cable;29;No;No;Yes;No;No;Yes;No;Yes;Month-to-Month;Yes;Credit Card;£40,65;£933,30;£0,00;£0,00;£0,00;£933,30
3317-HRTNN;1;Q3;No;0;5;None;No;£0,00;No;Yes;DSL;15;No;No;No;No;Yes;Yes;No;Yes;Month-to-Month;No;Bank Withdrawal;£45,70;£198,00;£0,00;£0,00;£0,00;£198,00
8473-VUVJN;1;Q3;No;0;1;None;Yes;£39,88;Yes;Yes;Fiber Optic;19;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£73,65;£73,65;£0,00;£0,00;£39,88;£113,53
0196-VULGZ;1;Q3;Yes;1;6;None;Yes;£28,71;Yes;Yes;Fiber Optic;17;No;No;No;No;No;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£84,35;£474,90;£0,00;£0,00;£172,26;£647,16
4631-OACRM;1;Q3;No;0;15;None;Yes;£17,23;No;Yes;Fiber Optic;12;No;No;No;No;No;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£79,40;£1.156,10;£0,00;£0,00;£258,45;£1.414,55
0013-EXCHZ;1;Q3;Yes;3;3;None;Yes;£7,38;No;Yes;Fiber Optic;11;No;No;No;Yes;Yes;No;No;Yes;Month-to-Month;Yes;Credit Card;£83,90;£267,40;£0,00;£0,00;£22,14;£289,54
4369-HTUIF;1;Q3;No;0;6;Offer E;Yes;£29,41;No;Yes;Fiber Optic;30;Yes;No;No;No;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£85,15;£503,60;£0,00;£0,00;£176,46;£680,06
1415-YFWLT;1;Q3;No;0;1;Offer E;Yes;£30,23;No;Yes;Fiber Optic;30;No;No;No;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£89,30;£89,30;£0,00;£0,00;£30,23;£119,53
3500-RMZLT;1;Q3;No;0;15;None;Yes;£19,11;No;Yes;Fiber Optic;8;Yes;No;Yes;Yes;No;Yes;No;No;Month-to-Month;Yes;Credit Card;£96,30;£1.426,75;£0,00;£150,00;£286,65;£1.863,40
1363-TXLSL;1;Q3;No;0;1;Offer E;Yes;£39,10;No;Yes;Fiber Optic;27;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£70,30;£70,30;£0,00;£0,00;£39,10;£109,40
7136-RVDTZ;1;Q3;No;0;70;None;No;£0,00;No;Yes;DSL;20;No;No;No;No;Yes;Yes;No;Yes;One Year;Yes;Bank Withdrawal;£45,25;£3.264,45;£0,00;£0,00;£0,00;£3.264,45
9912-GVSEQ;1;Q3;Yes;1;26;Offer C;Yes;£9,28;Yes;Yes;Fiber Optic;26;No;Yes;Yes;No;No;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£93,85;£2.381,55;£0,00;£0,00;£241,28;£2.622,83
9835-ZIITK;1;Q3;Yes;1;66;None;Yes;£48,87;Yes;Yes;Fiber Optic;13;No;Yes;Yes;Yes;Yes;Yes;No;Yes;One Year;Yes;Bank Withdrawal;£110,85;£7.491,75;£0,00;£0,00;£3.225,42;£10.717,17
9253-QXKBE;1;Q3;Yes;1;29;None;Yes;£6,25;Yes;Yes;Fiber Optic;21;No;No;No;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£94,45;£2.653,65;£0,00;£0,00;£181,25;£2.834,90
1095-JUDTC;1;Q3;No;0;47;None;Yes;£14,22;Yes;Yes;Fiber Optic;11;No;Yes;No;Yes;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£95,05;£4.504,55;£0,00;£0,00;£668,34;£5.172,89
5385-SUIRI;1;Q3;No;0;52;None;Yes;£37,60;Yes;Yes;Fiber Optic;23;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Bank Withdrawal;£104,20;£5.568,35;£0,00;£0,00;£1.955,20;£7.523,55
5813-UECBU;1;Q3;No;0;33;None;Yes;£38,53;Yes;Yes;Fiber Optic;2;No;Yes;Yes;No;No;No;No;Yes;Month-to-Month;Yes;Credit Card;£83,85;£2.716,30;£0,00;£0,00;£1.271,49;£3.987,79
4342-HENTK;1;Q3;No;0;2;None;Yes;£12,52;No;Yes;Fiber Optic;25;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£70,65;£142,35;£0,00;£0,00;£25,04;£167,39
1597-LHYNC;1;Q3;No;0;26;None;Yes;£47,63;Yes;Yes;Fiber Optic;26;Yes;Yes;No;No;No;Yes;No;No;Month-to-Month;Yes;Bank Withdrawal;£95,00;£2.497,20;£0,00;£60,00;£1.238,38;£3.795,58
3551-HUAZH;1;Q3;No;0;1;Offer E;Yes;£11,08;Yes;Yes;Fiber Optic;12;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£74,40;£74,40;£0,00;£0,00;£11,08;£85,48
2474-BRUCM;1;Q3;Yes;1;40;None;Yes;£2,85;Yes;Yes;Fiber Optic;3;Yes;No;No;No;Yes;Yes;No;Yes;Month-to-Month;No;Bank Withdrawal;£101,85;£4.086,30;£0,00;£0,00;£114,00;£4.200,30
9317-WZPGV;1;Q3;No;0;2;Offer E;Yes;£39,63;No;Yes;Fiber Optic;23;No;No;No;No;No;Yes;No;No;Month-to-Month;Yes;Bank Withdrawal;£79,75;£159,40;£0,00;£10,00;£79,26;£248,66
3319-DWOEP;1;Q3;No;0;6;Offer E;Yes;£47,90;No;Yes;Fiber Optic;6;No;No;Yes;No;Yes;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;£95,75;£573,75;£0,00;£0,00;£287,40;£861,15
1389-CXMLU;1;Q3;No;0;3;Offer E;Yes;£26,32;Yes;Yes;Fiber Optic;8;No;No;Yes;No;Yes;No;No;Yes;Month-to-Month;No;Bank Withdrawal;£91,05;£289,10;£0,00;£0,00;£78,96;£368,06
5561-NWEVX;1;Q3;Yes;1;2;Offer E;Yes;£17,73;Yes;Yes;Fiber Optic;18;No;No;Yes;No;No;No;No;Yes;Month-to-Month;No;Bank Withdrawal;£79,20;£172,85;£0,00;£0,00;£35,46;£208,31
3768-NLUBH;1;Q3;Yes;1;57;Offer B;Yes;£42,10;Yes;Yes;Fiber Optic;3;No;No;Yes;No;Yes;Yes;No;Yes;Month-to-Month;No;Bank Withdrawal;£100,60;£5.746,15;£0,00;£0,00;£2.399,70;£8.145,85
3005-NFMTA;1;Q3;No;0;55;Offer B;Yes;£8,93;Yes;Yes;Fiber Optic;21;Yes;No;No;No;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Bank Withdrawal;£98,80;£5.617,75;£0,00;£0,00;£491,15;£6.108,90
